Game,ReleaseDate,Genre,TotalEarnings,OnlineEarnings,TotalPlayers,TotalTournaments
GRID (2019),2019,Racing,218.75,0.0,3,1
Dragon Ball Z: Budokai 3,2004,Fighting Game,204.06,0.0,3,1
Naruto: Gekitou Ninja Taisen! 4,2005,Fighting Game,200.0,200.0,3,1
Maiden & Spell,2020,Fighting Game,200.0,200.0,3,1
Fighter's History Dynamite,1994,Fighting Game,195.0,0.0,3,1
Catherine: Full Body,2019,Puzzle Game,185.0,0.0,3,1
Warsow,2012,First-Person Shooter,183.0,183.0,2,1
Def Jam: Fight for NY,2004,Fighting Game,170.0,170.0,3,1
Project Justice,2000,Fighting Game,165.0,0.0,3,1
Ultimate Mortal Kombat 3,1995,Fighting Game,150.0,0.0,6,2
Hokuto no Ken,2005,Fighting Game,145.0,0.0,3,1
Chaos Code: New Sign of Catastrophe,2013,Fighting Game,140.0,0.0,3,1
Capcom vs. SNK,2000,Fighting Game,140.0,0.0,6,2
Umineko: Golden Fantasia,2010,Fighting Game,140.0,50.0,6,2
Forza Motorsport 4,2011,Racing,132.37,0.0,2,1
Magical Drop III,1997,Puzzle Game,130.0,0.0,3,1
Mordhau,2019,Fighting Game,123.0,123.0,0,1
Artifact 2.0,2020,Collectible Card Game,110.0,110.0,2,2
Schwarzerblitz,2020,Fighting Game,100.0,100.0,3,1
Twinkle Star Sprites,1996,Puzzle Game,100.0,100.0,3,1
Digimon Rumble Arena,2001,Fighting Game,70.0,70.0,3,1
Mario Tennis Aces,2018,Sports,61.3,61.3,6,2
Shovel Knight Showdown,2019,Fighting Game,60.0,0.0,3,1
Pocket Rumble,2016,Fighting Game,60.0,60.0,3,1
Dengeki Bunko: Fighting Climax,2014,Fighting Game,60.0,0.0,3,1
Roof Rage,2019,Fighting Game,50.0,50.0,3,1
Speedrunners,2016,Racing,50.0,50.0,3,1
Shrek SuperSlam,2005,Fighting Game,50.0,50.0,3,1
Power Instinct: Matrimelee,2002,Fighting Game,50.0,50.0,3,1
HYPERFIGHT,2019,Fighting Game,50.0,50.0,3,1
Panel Attack,2020,Puzzle Game,40.0,40.0,3,1
BlazBlue: Calamity Trigger,2008,Fighting Game,35.0,0.0,3,1
Guilty Gear,1998,Fighting Game,32.0,0.0,3,1
Samurai Shodown III,1995,Fighting Game,30.0,30.0,3,1
King of Fighters XI,2005,Fighting Game,25.0,0.0,3,1
Akatsuki Blitzkampf,2007,Fighting Game,20.0,20.0,3,1
Project Plus,2019,Fighting Game,20.0,20.0,3,1
The Last Blade 2,1998,Fighting Game,20.0,20.0,3,1
Eternal Fighter Zero,2000,Fighting Game,10.0,10.0,3,1
Asuka 120% LimitOver BURNING Fest.,1998,Fighting Game,10.0,10.0,3,1
NBA 2K19,2018,Sports,0.0,0.0,0,0
Dream league Soccer,2019,Sports,0.0,0.0,0,0
Battlefield 1,2016,First-Person Shooter,0.0,0.0,0,0
"Warhammer 40,000: Dawn of War II",2009,Strategy,0.0,0.0,0,0
Guitar Hero: World Tour,2008,Sports,0.0,0.0,0,0
Just Dance 2014,2014,Sports,0.0,0.0,3,1
Mortal Kombat vs. DC Universe,2008,Fighting Game,0.0,0.0,3,1
Echo Arena,2017,First-Person Shooter,0.0,0.0,0,0
NBA 2K Online,2012,Sports,0.0,0.0,0,0
Beat Aim,2019,First-Person Shooter,0.0,0.0,0,0
Dead or Alive 5 Ultimate,2013,Fighting Game,0.0,0.0,37,7
NHL 17,2016,Sports,0.0,0.0,0,0
Guilty Gear XX Accent Core Plus,2008,Fighting Game,0.0,0.0,3,1
Guilty Gear XX #Reload,2003,Fighting Game,0.0,0.0,3,1
Guilty Gear XX,2002,Fighting Game,0.0,0.0,5,2
Pro Evolution Soccer 2013,2012,Sports,0.0,0.0,0,0
Trials Fusion,2014,Racing,0.0,0.0,0,0
Dead or Alive 5,2012,Fighting Game,0.0,0.0,4,2
Soccer Stars,2018,Sports,0.0,0.0,0,0
Gray Basin,2015,First-Person Shooter,0.0,0.0,0,0
Faeria,2017,Collectible Card Game,0.0,0.0,0,0
Iron Harvest,2020,Strategy,0.0,0.0,0,0
Tekken Tag Tournament,1999,Fighting Game,0.0,0.0,7,4
Borderlands 3,2019,First-Person Shooter,0.0,0.0,0,0
Trackmania United Forever,2008,Racing,0.0,0.0,0,0
Mobile Legends: Bang Bang,2016,Multiplayer Online Battle Arena,0.0,0.0,0,0
Shardbound,2017,Collectible Card Game,0.0,0.0,0,0
BlazBlue: Continuum Shift Extend,2011,Fighting Game,0.0,0.0,3,1
NASCAR Heat 4,2019,Racing,0.0,0.0,0,0
Pac-man,1981,Puzzle Game,0.0,0.0,0,0
Endgods,2015,Strategy,0.0,0.0,0,0
Halo: Infinite,2020,First-Person Shooter,0.0,0.0,0,0
Ironsight,2018,First-Person Shooter,0.0,0.0,0,0
Islands of Nyne,2017,First-Person Shooter,0.0,0.0,0,0
Teeworlds,2007,Multiplayer Online Battle Arena,0.0,0.0,0,0
Rules Of Survival,2017,Battle Royale,0.0,0.0,0,0
TowerFall: Ascension,2013,Fighting Game,0.0,0.0,0,0
Dofus,2004,Multiplayer Online Battle Arena,0.0,0.0,0,0
Sudden Attack,2005,First-Person Shooter,0.0,0.0,0,0
Pokémon TCG,1996,Collectible Card Game,0.0,0.0,0,0
Sea of Thieves,2016,Strategy,0.0,0.0,0,0
Brawlout,2017,Fighting Game,0.0,0.0,0,0
Breakers Revenge,1998,Fighting Game,0.0,0.0,0,0
Virtua Fighter 4: Evolution,2002,Fighting Game,0.0,0.0,6,3
Battlefield 5,2018,First-Person Shooter,0.0,0.0,0,0
Call of Duty: Mobile,2019,First-Person Shooter,0.0,0.0,0,0
Melty Blood: Actress Again,2009,Fighting Game,0.0,0.0,10,2
